epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,2812.04,1.22902,1.1542,1.35219,0.56443,0.6023,0.62506,0.37942,1.40308,1.3691,1.31354,0.0085744,0.0085744,0.0085744
146,2831.78,1.22149,1.1442,1.34372,0.62706,0.66216,0.66464,0.39261,1.38585,1.31826,1.30795,0.0085645,0.0085645,0.0085645
147,2851.28,1.22711,1.14133,1.34007,0.60656,0.63788,0.64919,0.38974,1.36269,1.33314,1.31412,0.0085546,0.0085546,0.0085546
148,2870.97,1.20784,1.11364,1.33171,0.60728,0.64541,0.65059,0.38357,1.40399,1.295,1.32695,0.0085447,0.0085447,0.0085447
149,2891.01,1.24468,1.15618,1.35862,0.65506,0.67565,0.66618,0.39453,1.40336,1.28749,1.31978,0.0085348,0.0085348,0.0085348
150,2910.52,1.20443,1.13669,1.32649,0.6291,0.66363,0.65096,0.39472,1.38685,1.30923,1.30944,0.0085249,0.0085249,0.0085249
151,2930.56,1.19659,1.09907,1.33066,0.66916,0.65568,0.66948,0.39822,1.40889,1.31312,1.31933,0.008515,0.008515,0.008515
152,2950.41,1.199,1.09947,1.32358,0.6762,0.60915,0.65537,0.39374,1.39434,1.30508,1.32302,0.0085051,0.0085051,0.0085051
153,2970.03,1.21947,1.11742,1.31933,0.6122,0.63922,0.63569,0.38156,1.40808,1.32171,1.32906,0.0084952,0.0084952,0.0084952
154,2989.72,1.21925,1.11261,1.3427,0.60805,0.67331,0.67231,0.40493,1.36036,1.29259,1.29859,0.0084853,0.0084853,0.0084853
155,3009.44,1.17734,1.08759,1.31395,0.63025,0.63088,0.65808,0.39716,1.36219,1.33402,1.30541,0.0084754,0.0084754,0.0084754
156,3029.38,1.2065,1.09657,1.32681,0.66055,0.62272,0.65709,0.39283,1.35452,1.36526,1.31438,0.0084655,0.0084655,0.0084655
157,3049.25,1.20236,1.10981,1.32276,0.64289,0.59298,0.64033,0.3849,1.40568,1.32675,1.34132,0.0084556,0.0084556,0.0084556
158,3069.24,1.21044,1.10347,1.33555,0.6142,0.62174,0.63393,0.3848,1.39531,1.3251,1.33211,0.0084457,0.0084457,0.0084457
159,3088.84,1.19813,1.08456,1.31285,0.64222,0.65277,0.64553,0.39112,1.39603,1.31632,1.33121,0.0084358,0.0084358,0.0084358
160,3108.81,1.19053,1.09249,1.32924,0.60253,0.63485,0.63603,0.3829,1.38931,1.34543,1.33856,0.0084259,0.0084259,0.0084259
161,3128.44,1.20304,1.08856,1.32082,0.64519,0.62786,0.64815,0.39191,1.39401,1.29454,1.33517,0.008416,0.008416,0.008416
162,3148.13,1.19208,1.07199,1.31652,0.59889,0.64208,0.63254,0.38171,1.36942,1.24254,1.34728,0.0084061,0.0084061,0.0084061
163,3168.25,1.17698,1.05328,1.30477,0.59775,0.64644,0.63389,0.37913,1.3967,1.28852,1.3454,0.0083962,0.0083962,0.0083962
164,3187.93,1.20085,1.06971,1.32322,0.60202,0.60396,0.62188,0.37807,1.37173,1.3014,1.34449,0.0083863,0.0083863,0.0083863
165,3208.05,1.17582,1.08881,1.28772,0.66375,0.60218,0.65236,0.38383,1.40374,1.34431,1.33981,0.0083764,0.0083764,0.0083764
166,3227.71,1.17382,1.043,1.29217,0.5964,0.63845,0.63885,0.37783,1.4247,1.3402,1.37013,0.0083665,0.0083665,0.0083665
167,3247.52,1.18327,1.06871,1.30455,0.64573,0.63054,0.64883,0.3848,1.43307,1.32719,1.3507,0.0083566,0.0083566,0.0083566
168,3267.15,1.18968,1.06315,1.31173,0.62684,0.66973,0.64954,0.4085,1.4032,1.30906,1.30931,0.0083467,0.0083467,0.0083467
169,3287,1.17486,1.09012,1.30877,0.60749,0.65388,0.64107,0.39208,1.41394,1.26714,1.31387,0.0083368,0.0083368,0.0083368
170,3306.98,1.15823,1.06985,1.29848,0.64205,0.67027,0.63779,0.38914,1.36513,1.28408,1.31094,0.0083269,0.0083269,0.0083269
171,3326.87,1.18102,1.07293,1.3146,0.64054,0.65141,0.65188,0.39275,1.35836,1.25961,1.30848,0.008317,0.008317,0.008317
172,3346.4,1.16432,1.04868,1.30099,0.61879,0.64759,0.66374,0.40518,1.35065,1.26463,1.29703,0.0083071,0.0083071,0.0083071
173,3366.59,1.1679,1.01855,1.28971,0.64637,0.68546,0.67256,0.42263,1.30727,1.27465,1.29045,0.0082972,0.0082972,0.0082972
174,3386.11,1.17943,1.06035,1.30834,0.61721,0.65512,0.65655,0.41256,1.36358,1.29629,1.31149,0.0082873,0.0082873,0.0082873
175,3405.82,1.15109,1.02595,1.29309,0.67423,0.60446,0.65537,0.40751,1.3698,1.27035,1.31194,0.0082774,0.0082774,0.0082774
176,3425.5,1.18501,1.0505,1.32204,0.6619,0.61906,0.65847,0.41217,1.36727,1.30742,1.31677,0.0082675,0.0082675,0.0082675
177,3444.96,1.17067,1.04222,1.2909,0.66442,0.60855,0.66155,0.4212,1.31948,1.26901,1.29531,0.0082576,0.0082576,0.0082576
178,3464.33,1.15906,1.03583,1.29674,0.68639,0.63358,0.6675,0.41725,1.35729,1.25708,1.28787,0.0082477,0.0082477,0.0082477
179,3483.76,1.16504,1.04286,1.29385,0.69967,0.62398,0.67791,0.40991,1.38242,1.29959,1.31009,0.0082378,0.0082378,0.0082378
